,category,text
1294,многозвонящий клиент,акц комфортел num многозвонящий клиент омск риск для жизни по вине сотрудника name num дата контакта date time 33 минуты длительность разгорова после чего разговор был прерван пригрозил заблокировать счета и отключился
1295,жалоба,всегда думала что bankname name организация на деле хуже не куда сотрудники не компетентны что на горячей линии что в bankname не могут не посоветовать не решить проблему только достают звонками уже думаю обратится в суд на ваш bankname
1296,розыск всп,акц аудиотеле акц num моя дебетовая карта tr заканчивается в 04 num карту выдавали на работе где ведется счет не помню где мне забрать перевыпущенную карту по какому адресу ленинградская обл всеволожский район г сертолово
1297,розыск всп,акц аудиотеле num клиента интересует куда переехало отделение находящееся по адресу приморский край г владивосток name д 1 номер отделение не знает отделение для физ лиц причина обращения в всп клиент отказывается озвучивать
1298,жалоба на продукты услуги bankname,акц комфортел num регион республика башкортостан населенный пункт д юртюли вопрос клиента господержка закончена но на самом деле должна быть продлена до 31 мая
1299,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт г кузнецк вопрос клиента подключают услуги без ведома клиента идет возмущения от клиента клиент ездиет name деревни в офис и отключает услуги
1300,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента поступление name с предодобренным предложением клиент отказывается получать звонки по данному предложению
1301,жалоба,жалоба прошу принять меры по устранению нарушенных прав несовершеннолетних детей которые как по вине спи name и по вине bankname рф остались без социального пособия в преддверии нового года
1302,получение информации,здравствуйте я житель республики татарстан города зеленодольск хотелось бы узнать по какой причине в нашем городе сильно сокращается количество bankname bankname спасибо за ответ
1303,благодарность,благодарю сотрудников отделения bankname по адресу num москва бульвар name name 1 1 и лично name name за квалифицированную помощь и доброе отношение дата рождения не ставится отнять 70лет
1304,консультация,здравствуйте у меня однокомнатная каартира купленная в ипотеку но я вышла замуж и хотим расшириться взять квартиру больше или обменять 1 комнатную на 2 комнатную как это можно сделать можно ли увеличить сумму ипотеки и что для этого нужно
1305,жалоба,акц ик num месторасположения ус name обл пгт name ул проезжая д 1 стр а номер ус num дату и время попытки проведения операции date date date date характер поломки не принимает наличные клиент настоял на составлении обращения
1306,жалоба связана с услугой мобильный bankname,акц комфортел num регион name область населенный пункт город калуга деревня пучково вопрос клиента просит вернуть деньги за мобильный bankname который клиент отключил
1307,жалоба,в вашем доп офисе num по адресу г москва ул адмирала name 24 очень просим отключить голосовое сопровождение операций в платёжных терминалах так как это очень сильно мешает и отвлекает от процесса оплаты
1308,жалоба,здравствуйте до сих пор не оформлена name в связи с закрытием ипотечного договора num от date кредит закрыт date прошу оформить name до 7 марта num года и проинформировать меня о готовности по телефону num спасибо с name
1309,неработоспособность ус,акц аудиотеле num жалоба на регулярно неработающее ус num расположенное по адресу г воронеж московский проспект дом 7 последнее обращение к ус было date
1310,розыск всп,акц ик num номер всп num адрес всп нижний новгород категория обслуживания клиента фл причина обращения в всп получение bankname карты дата и время обращения клиента в всп date
1311,консультация,возможно ли рефинансировать ипотеку стороннего bankname в bankname если есть такая возможность какие необходимы документы для оформления и какие условия рефинансирования
1312,многозвонящий клиент,акц комфортел num многозвонящий клиент омск со слов клиента num хочу оставить благодарность name чттобы выдали премию и хватило на два пиджака от дольче габанна
1313,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт ивантеевка вопрос клиента клиент обратился в офис чтобы оплатить платежи жкх и гибдд наличными но возможно оплатить только безналичным путем через ус
1314,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет кемеррвская обл город юрда улица name num карты счета вклада num вопрос клиента причина кто наложил арест
1315,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт кузнецк вопрос клиента клиент отключала услугу копилка в офисе bankname но услуга была повторно подключена
1316,мобильный bankname,поступаю смс сообщения о задолженности на 3 лицо обращени созданали date num пришел date что отключать в течение 10 рабочих дней смс сообщения поступаю такще просьба разобраться
1317,жалоба на продукты услуги bankname,акц комфортел num регион краснодарский край населенный пункт новокубанский р он вопрос клиента bankname который день не работает находящийся по улице name num просим устранить проблему
1318,получение информации,добрый день планирую оформить право собственности на квартиру какие документы от bankname мне потребуются оценка name страховка и т д квартира куплена с использованием ипотеки какова стоимость ваших услуг каков порядок
1319,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт name вопрос клиента улица name 8 нету bankname на внисение денежных средств вернее они стоят но не работает внесение наличных
1320,смс рассылка,акц аудиотеле num date клиенту поступило смс с номера num на номер num на имя другого клиента name name о предстоящем платеже по кредиту клиент просит разобраться в name ситуации
1321,смс рассылка,акц аудиотеле num обращается name ллександр name date г р клиенту неоднократно поступают смс с num на номер num с предложениями от bankname на 3е лицо а именно name владмировне клиент просит разобратся в name ситуации
1322,претензии на доп офис,акц комфортел num субъект федерации республика татарстан населенный пункт г казань улица улица бутлерова дом 44 дата и время произошедшей ситуации обращения в всп date
1323,консультация,дозвониться вам невозможно отвратительное сопровождение сделки требуется консультация по ипотеке какой порядок действий для оформления собственности если name ранее уже была оформлена
1324,неработоспособность ус,клиент настоял на регистрации name москва поселение name м н дикси 16 на экране указано технические работы в течении месяца так же клиента не устраиват отсутствие bankname на внесение наличных и других для оплаты
1325,вопрос,22 апреля заканчивается срок действия вклада пенсионный плюс это куда приходит часть пенсии возникает вопрос как его продлить или есть другие варианты с уважением name
1326,жалоба на продукты услуги bankname,акц комфортел num регион кемеровская область населенный пункт город киселевск вопрос клиента отказываюсь от рассылок с предложениями кредитных продуктов сб и от других name рассылок сб
1327,жалоба на продукты услуги bankname,акц комфортел num регион свердловская область населенный пункт реж вопрос клиента клиент хотел чтобы установили несколько ус на выдачу наличных так как работает только одно ус
1328,возврат денежных средств,мною был отправлен перевод наличными в bankname num date time в сумме num руб в bankname денежные средства не поступили по назначению просьба вернуть на мой счет num
1329,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет улица name карты счета вклада num num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
1330,отключение рекламных рассылок,акц комфортел num территориальный bankname юго западный bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отключение рекламной рассылки
1331,неработоспособность ус,акц аудиотеле num г улан уде ул name д 47 num date клиент обращается по поводу плохой работоспособности терминала со слов клиента ус стоит в магазине то работает то нет сенсор не работает вообще
1332,розыск всп,номер всп num адрес всп регион город улица номер дома нет категория обслуживания клиента фл юл фл причина обращения в всп получение карты плановый выпуск дата и время обращения клиента в всп если обращался не обращался
1333,не работает bankname,акц ик num name не работает bankname г казань ул журналистов num не реагирует на запросы прошу решить это вопрос в кратчайшие сроки эта ситуация переодически повторяется
1334,жалоба,03 января num года задал вопрос через обратную связь с bankname дату ответа постоянно передвигают на данный момент стоит дата 04 марта tr неужели мой вопрос настолько оказался тяжелым для ответа что необходимо 3 месяца обращения num
1335,неработоспособность ус,акц аудиоетле num клиент настоял на обращение bankname num краснодарский край город сочи улица навагинская дом 9 date не работает на взнос наличных такая ситуация уже 1 5 месяца со слов клиента просьба решить данный вопрос
1336,bankname,акц ик num в г воронеж на ул name 1 в зоне обслуживания стоят bankname которые не принимают bankname карты к обслуживанию просьба урегулировать работу bankname в кратчайшие сроки
1337,обслуживание,зравствуйте мне перестали приходить смс от мобильного bankname со вчерашнего дня пожалуйста проверьте покупки совершаю а смс не приходят услуга подключена полный пакет остальные смс приходят
1338,многозвонящий клиент,акц комфортел num многозвонящий клиент волгоград прислать копию заверенною печатью что бы каждая страница была заверена печатью прислать эти документы по почте россии
1339,благодарность,добрый день хотел бы выразить благодарность заведующей name дополнительного отделения в проезде стратонавтов num name name name за эффективность желание помочь и терпение в проведении моей финансовой операции удачи и name
1340,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет г новокузнецк ул name д 4 карты счета вклада num num дата подачи документов на снятие наложение ареста date вопрос клиента когда будет снят арест
1341,мобильный bankname,здравствуйте я хочу подключить мобильный bankname но я в данный момент нахожусь на территория китая и нет возможности сходить в ближайшее отделения bankname могу ли я сделать это удаленно спасибо
1342,претензии на доп офис,дата и время произошедшей ситуации обращения в всп date подробное описание произошедшей ситуации клиент не доволен обслуживанием сотрудников офиса bankname сотрудники не помагают клиентам помочь так же этому подвергся name ситуации
1343,обслуживание,обращается клиент бернадцкая name name с вопросом по name не работает подразделение по адресу город нижний новгород улица даргомышского 22 так же не работает только один bankname желательно что бы поставили еще один bankname
1344,консультация,при оплате электроэнергии в онлайн по шаблону не обратил внимание на изменившийся лс для bankname он всегда меняется дойдёт ли мой платёж по назначению или надо обращаться в bankname за возвратом или есть какие то другие варианты
1345,получение информации,здравствуйте не могу найти на сайте перечень отделений с телефонами в г name и в г москва в которые можно сдать слитки золота реально ли сдать в bankname слиток без сертификата если он утерян
1346,возврат денежных средств,я date оплачивал покупку за товар на num 00 с карты num в компанию tr tr как оказалось это были мошенники название счета num прошу обратно вернуть деньги на карту спасибо
1347,жалоба на продукты услуги bankname,акц комфортел num регион краснодарский край населенный пункт краснодар вопрос клиента в bankname онлайн не отображается комиссия за платеж в пользу юридического лица почему
1348,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт город домодедово вопрос клиента при обращении в ряд отделений bankname в них не оказалось в наличии карт моментум
1349,не работает bankname,акц аудиотеле num ставрополь name name name некорректно работает bankname на прием денежных средств по адресу г ставрополь ул достоевского 75 магазин флагман bankname num
1350,смс рассылка,акц ик num на номер телефона num приходит смс рассылка на 3 тье лицо о name клиенту одобрен кредит просьба отключить рассылку третьего лица с моего номера телефона
1351,жалоба связана с услугой мобильный bankname,num акц комфортел num регион город санкт петербург населенный пункт санкт петербург вопрос клиента не приходит запрос на подтверждение когда совершают платеж через интернет со стороннего сайта
1352,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт москва вопрос клиента со слов клиента клиент хочет чтобы изменили способ оплаты в ус за стационаргый телефон
1353,отключение рекламных рассылок,акц комфортел num территориальный bankname северо западный bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отказаться от рассылки
1354,жалоба,как мне наказать сотрудника bankname который не соображает в обслуживание клиента мало того что они вызывают клиента не закончив обслуживание другого так ещё и вызвав его прождали еще15 мин со мной тоже очередь рядом окошко проблему не решили
1355,кредитная карта,добрый день спасибо за ответы обр num итого карту я могу перевыпустить только в москве кредит перевести в иркутск не могу можно хотя бы раз в месяц присылать смс с состоянием счета и размером платежа
1356,кредит,на имя name name name прешло спец предложение получение кредита куда мне подойти для оформления кредита и является ли данная рассылка что вероятность получения кредита num
1357,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт москва вопрос клиента приходит tr рассылка другого клиента bankname клиент хочет чтобы письма больше не рассылались ему email его эл почта
1358,bankname онлайн,не могу войти в онлайн мобильный bankname подключен name и пароль соответствуют программа пишет что нет мобильного bankname но смс о снятии приходят карта num
1359,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента отключение рекламных name с предложениями от bankname
1360,жалоба на продукты услуги bankname,акц комфортел num регион город санкт петербург населенный пункт город санкт петербург вопрос клиента обращается по вопросу оплаты гос пошлины в офисе отказали
1361,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт город москва вопрос клиента на каком основании пао bankname при проведении платежей менее 15 тыс рублей требует идентифицировать мою личность
1362,получение информации,здравствуйте хочу ознакомится с утв постановлением правления bankname россии num 1а от date г подскажите где его можно найти и куда обратится на получение данного постановления последние цифры карты num
1363,жалоба,сотрудник bankname name name отделение на волжском бульваре крайне некорректно и грубо ведет себя с посетителями принести жалобную name отказалась событие date в date
1364,перевыпуск карты,добрый день заказал по горячей линии перевыпуск дебетовой карты tr tr более 13 рабочих дней карты до сих пор нет я месяц name за вашей халатности без карты живу сложно сделать как нужно
1365,жалоба на продукты услуги bankname,акц комфортел num регион краснодарский край населенный пункт краснодар вопрос клиента в офисе не согласились принимать купюру num долларов ссылаясь на ее повреждение но повреждения незначительны
1366,неработоспособность ус,акц аудиотеле num клиент обращается по поводу неработоспособности ус по адресу кемеровская обл город прокопьевск ул кустарная 22а num bankname выдает карту обратно операцию пытались совершить date
1367,обслуживание,акц ик num при перевыпуске карты денежные ср ва в размере num рублей не перешли на карту было оставленно обращение дважды карта активирована примерно 10 марта просьба разобраться
1368,жалоба,добрый день сидим в очереди bankname bankname 30 минут хотя перед нами один человек рабочих окон 7 на 2 х окнах отсутствуют сотрудники и name 7 ми окон клиентов принимают только 3 окна ужасная работа в bankname по адресу г краснодар ул атарбекова 40
1369,bankname,здравствуйте по ул name 62 а в здании ростелекома где кассы оплат и офис приема клиентов уже больше месяца не работает bankname просьба срочно починить спасибо
1370,претензия,добрый день вас беспокоит name name name я заказывала перевыпуск кредитной карты date до сих пор никаких данных о ней у меня нет это нормально что ее перевыпускают уже почти месяц последние цифры num
1371,розыск всп,акц ик num номер всп адрес всп регион город улица номер дома г москва ул достоевского д 3 категория обслуживания клиента фл юл фл причина обращения в всп необходимо предоставить name по ипотеке офис по адресу закрыт
1372,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт name район вопрос клиента отключили мобильный bankname от старого номера ничего не проверив не подключили к новому
1373,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт москва вопрос клиента не хочу что бы мне приходили смс от bankname на тел num по дополнительным услугам
1374,bankname,республика дагестан город избербаш улица name прошу увеличить количество bankname которые принимают наличные средства на весь город один bankname принимающий наличный средства
1375,консультация,я являюсь клиентом bankname премьер и у меня есть карта приорити name вопрос все гости который со мной заходят в бизнес зал в аэропортах name тоже обслуживаются бесплатно
1376,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет г норильск площадь металлургов 1 карты счета вклада num num вопрос клиента причина кто наложил арест
1377,жалоба,произошла техническая ошибка в графике ипотечного кредита в результате которой bankname производит взыскание просроченного платежа оплата кредита производилась в соответствии с графиком платежей желание клиента оспорить данную ситуацию
1378,отключение рекламных рассылок,num телефона на который поступило смс num оригинальный текст смс name name задолженность по кредиту просьба обеспечить наличие средств на карте дата время поступления смс date time вопрос клиента отключить смс рассылку
1379,жалоба связана с услугой мобильный bankname,акц комфортел num регион name область населенный пункт ярославль вопрос клиента по какой причине bankname не проинформировал в день наложения ареста на вклад пенсионный о наложении ареста
1380,кредит,здравствуйте я подал заявку на кредит но мне пришел отказ может я не правильно заполнил анкету помогите узнать какой кредит я могу получить в смс мне одобрен кредит до num р
1381,претензия,прошу вернуть оплаченные мной деньги за оплату детского сада 53 г name через терминал bankname по ул name num от date г time 51 операции num на сумму num руб все документы и чеки прилагаются
1382,вопрос,здравствуйте я бы хотела поменять заработную карту bankname открытие на заработную карту bankname возможно ли это если возможно дистанционно или лучше всего это сделать непосредственно в bankname благодарю name
1383,жалоба,а где ответ на мое обращение кроме собственной рекламы я ничего не увидел ваш сотрудник ничего не предлагал а требовал что бы я сделал так как она хочет если по моему обращению не будут приняты меры то я отправлю жалобу в bankname
1384,жалоба на продукты услуги bankname,акц комфортел num регион ставропольский край населенный пункт г гиоргиевск вопрос клиента в офисе пао bankname num взимают комиссию за размен name купюр на крупные
1385,многозвонящий клиент,акц комфортел num многозвонящий клиент омск счет открывал дочери как опекун хотел закрыть предъявил документ с name опеки что бы закрыть счет но ему отказали г казань ул маршала name д 2 стр в num фио сотрудника name
1386,жалоба на продукты услуги bankname,акц комфортел num регион ленинградская область населенный пункт п ульяновка вопрос клиента почему взимается комиссия с bankname карты если происходит выдача денежных средств в bankname bankname
1387,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт пушкино вопрос клиента в bankname онлайн распечатаный чек выходит очень маленький и его трудно рассмотреть проссьба исправить данную ситуацию
1388,перевыпуск карты,здравствуйте у меня заканчивается срок на карте tr num в связи с этим вопросы как заранее надо обращаться за перевыпуском когда bankname tr будет обслуживаться tr tr можно ли сделать tr с индивидуальным дизайном спасибо
1389,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт город михайловка вопрос клиента клиент хочет знать почему в выходной день не могут вызвать инкосатора чтобы он смог достать захваченую bankname карту
1390,жалоба на продукты услуги bankname,акц комфортел num регион ленинградская область населенный пункт санк петербугр вопрос клиента невозможнось оплатить картой госпошлины в пользу минестерсва юстиций с помощью устройства самообслуживания
1391,смс рассылка,акц аудиотеле num со слов клиента на приобретенную мною сим карту приходят смс с номера num на имя name name просьба отключить данное смс информирование так как данная информация ко мне не относится
1392,кредитная карта,прошу мою кредитную карту num выданную пао bankname в городе березники направить в московскую область г воскресенск поскольку территориально нахожусь в московской области г воскресенск
1393,жалоба,жалоба направлена файлом жалоба tr ответ на жалобу прошу направить по почте по адресу num ханты мансийский автономный округ югра г сургут ул name д 4 кв 62 name name name
1394,перевыпуск карты,добрый день в марте у меня будет перевыпуск карты num хотелось бы узнать если я ее не получу до конца марта так как нахожусь временно в другом городе смогу ли я проводить по ней операции в bankname онлайн
1395,жалоба,на жалобу num почему нет ответа сначала прислали на автоответчике что ответят через пять дней потом что date потом что 11 03 num если вам нечего ответить так и напишите что вы ходите вокрог да name
1396,жалоба связана с услугой мобильный bankname,акц комфортел num регион новосибирская область населенный пункт новосибирск вопрос клиента клиенту отключили мобильный bankname затем он сам поддключился и клиенту пришлось снова его отключать num
1397,жалоба на продукты услуги bankname,акц комфортел num регион город санкт петербург населенный пункт санкт петербург вопрос клиента явиться к судебному приставу я очень прошу больше смс на мой номер не присылать
1398,жалоба,уже неделю bankname по адресу г москва ул булатниковская 6а не принимает купюры для внесения на карту а второй bankname то работает то нет date я простояла на улице в очереди с коляской 20 минут и ушла ни с чем это было уже после date
1399,обслуживание,акц ик num омская область омский район пос ключи ул name 1 по данному адресу находиться отделение bankname крыльцо которое принадлежит данному отделению не чищено
1400,bankname,у вас не возможно на карту деньги внести посмотрите пожалуйста на акушинского все bankname не принимают а мне очень срочно нужно в махачкале приходится по всему городу искать нормальный рабочий bankname
1401,консультация,у меня ваша карта на которую приходит пенсия не могу получить убедительный ответ от отделений bankname какие последствия для карты и её работоспособности будет иметь неоднократный контакт с морской водой
1402,жалоба,прошу обратить внимание на работу сотрудников которые помогают активировать карту они активируют не только карту но и вклады копилки и все прочее без ведома владельца
1403,обслуживание,акц ик num была смена фамилии но при переводе через мобильный bankname прописывается старая фамилия операция на смену фамилии уже была проведена с помощью сотрудников ситуация не меняетя
1404,розыск всп,акц аудиотеле акц num клиент в гроде омске хочет узнать куда ему обратится за получением карты кредитной по истечению срока годности карты была выпущена num данного офиса нету карта закончилась срок действия 12 tr клиент физ лицо
1405,мобильный bankname,сегодня date в num произвела оплату в интернет магазине деньги снялись но магазин ответил что отменил заказ но деньги не вернулись на баланс фото прилагаю карта num
1406,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт брянск вопрос клиента мы не можем подъехать на транспортном средстве к отделению сб улица перекрыта
1407,жалоба на продукты услуги bankname,акц комфортел num регион свердловская область населенный пункт екатеренбург вопрос клиента клиент желает отключить смс рассылки от bankname по предодобренном предложении на кредит
1408,bankname,здравствуйте я неоднократно сталкивался с bankname bankname как не придешь снимать с карты или пополнять на карту то bankname перестают работать и люди уже не знают что им делать name область бологовский район ул name 12 и ул советская 10
1409,жалоба,хочу выразить свое недовольство в связи с закрытием офиса на ул акушинского г махачкала рядом с кольцом этот офис перевели вообще в другой конец города возмутительно
1410,жалоба,не возможно подойти к вашим bankname на name и name в махачкале все bankname очень большие очереди и не возможно внести деньги на карту потому что они заполнены
1411,жалоба,постоянно сталкиваюсь с проблемами когда хочу отправить перевод жаловался неоднократно но нет никаких изменений в лучшую сторону с каждым днем все усложняется
1412,жалоба,28 февраля пришла в отделение bankname по адресу 3 й проезд name name хотела поменять валюту но девушка в обменнике ходила час на обед собралось в очередь много народу у работников bankname обед текущий сотрудников должны заменять
